"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AXPW","Axion Power International, Inc.","0.0836","$7.86M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/axpw",
"AXPWW","Axion Power International, Inc.","0.04","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/axpww",
"AXGN","AxoGen, Inc.","3.21","$80.01M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/axgn",
"AXTI","AXT Inc","2.42","$79.04M","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/axti",
"BCOM","B Communications Ltd.","16.15","$482.89M","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/bcom",
"BOSC","B.O.S. Better Online Solutions","2.3099","$4.24M","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BEAV","B/E Aerospace, Inc.","54.4","$5.78B","1990","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/beav",
"BIDU","Baidu, Inc.","187.57","$65.88B","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BCPC","Balchem Corporation","54","$1.68B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/bcpc",
"BWINA","Baldwin & Lyons, Inc.","23.25","$349.23M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","23.06","$346.37M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BLDP","Ballard Power Systems, Inc.","1.42","$201.56M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/bldp",
"BANF","BancFirst Corporation","64.33","$999.16M","1993","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","27.07","$27.07M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BKMU","Bank Mutual Corporation","7.41","$345.54M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bkmu",
"BOCH","Bank of Commerce Holdings (CA)","5.66","$75.49M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boch",
"BMRC","Bank of Marin Bancorp","49.99","$298.61M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
"BKSC","Bank of South Carolina Corp.","16.36","$72.99M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bksc",
"BOTJ","Bank of the James Financial Group, Inc.","11.25","$37.93M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/botj",
"OZRK","Bank of the Ozarks","44.83","$3.89B","1997","Finance","Major Banks","http://www.nasdaq.com/symbol/ozrk",
"BFIN","BankFinancial Corporation","11.94","$251.96M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bfin",
"BWFG","Bankwell Financial Group, Inc.","17.99","$130.28M","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/bwfg",
"BANR","Banner Corporation","46.78","$981.25M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banr",
"BZUN","Baozun Inc.","8.13","$395.19M","2015","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/bzun",
"TAPR","Barclays Plc","37.4","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BHAC","Barington/Hilco Acquisition Corp.","9.75","$55.2M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/bhac",
